run,algo,seed,beta,kappa_target,test_reward,test_kl_uniform,rank
1,dpo,2,0.9849391174316405,0.2,0.5228330492973328,0.20070640742778778,6
2,smsspo,3,0.24458042144775388,0.2,0.5514842867851257,0.20095691084861755,6
4,pspo,5,0.41717821121215826,0.2,0.5571497678756714,0.20275837182998657,6
6,sft,7,0.4986138534545898,0.2,0.5332370400428772,0.19745655357837677,6
7,espo,8,0.5333241271972656,0.2,0.5554962158203125,0.19875003397464752,6
9,dpo,10,0.8941584014892576,0.2,0.4918546676635742,0.20049069821834564,6
10,smsspo,11,0.24000324249267574,0.2,0.5631502866744995,0.19970476627349854,6
12,pspo,13,0.4303376007080078,0.2,0.5665603876113892,0.20071910321712494,6
14,sft,15,0.4864080429077148,0.2,0.5442113876342773,0.19947145879268646,6
15,espo,16,0.5354220008850097,0.2,0.5745499730110168,0.19892479479312897,6
17,dpo,18,0.9456516647338866,0.2,0.5325518846511841,0.19807299971580505,6
18,smsspo,19,0.23733322143554683,0.2,0.5495315194129944,0.1995343565940857,6
