run,algo,seed,beta,kappa_target,test_reward,test_kl_uniform,rank
0,smsspo,1,0.22684385299682613,0.2,0.5464274287223816,0.20097896456718445,4
2,pspo,3,0.47248579025268544,0.2,0.5361348986625671,0.20071446895599365,4
4,sft,5,0.44712059020996087,0.2,0.5610575079917908,0.20247259736061096,4
5,espo,6,0.4448320007324218,0.2,0.567140519618988,0.20120704174041748,4
7,dpo,8,0.9712075805664062,0.2,0.526634931564331,0.19839635491371155,4
8,smsspo,9,0.22970458984374997,0.2,0.5785254836082458,0.20133987069129944,4
10,pspo,11,0.4581821060180663,0.2,0.543046236038208,0.19990886747837067,4
12,sft,13,0.5096753692626953,0.2,0.5666213035583496,0.20070672035217285,4
13,espo,14,0.5089125061035156,0.2,0.5538588762283325,0.20267421007156372,4
15,dpo,16,0.9567131805419922,0.2,0.5505236387252808,0.1987886279821396,4
16,smsspo,17,0.23981252670288083,0.2,0.5928979516029358,0.20466604828834534,4
18,pspo,19,0.42709543228149416,0.2,0.5289085507392883,0.199422687292099,4
